model_tag,log10_N,n_col,mature_R,n_seeds
bloom7b,9.845098040014257,3.0,0.8766876898365491,3
bloom_3b,9.477121254719663,2.0,1.5366963601770383,20
bloom_560m,8.7481880270062,1.0,0.7780193989929101,26
mistral7b,9.845098040014257,29.0,2.5353125576203817,95
phi15,9.113943352306837,21.0,2.4482254338226017,107
py12b,10.079181246047625,30.0,2.4696284359923957,29
py14b,9.146128035678238,20.0,2.3943707126304066,99
py160m,8.204119982655925,8.0,1.6866987515937395,115
py1b,9.0,12.0,2.4682936720979356,117
py28b,9.44715803134222,28.0,2.2746937239771454,109
py410m,8.612783856719735,19.0,1.7010576523287384,105
py69b,9.838849090737256,28.0,2.93041811444002,70
py70m,7.845098040014257,3.0,0.7325846535588876,120
smol_17,9.230448921378274,8.0,1.480040208430186,104
stablelm,9.204119982655925,11.0,0.994760525524029,92
tinyllama,9.041392685158225,14.0,2.213896509233744,117
